Model	Date	Time	WxFile	Long	Lat	JdStart	JdEnd	Month	Day	Year	dd	root	stem	leaf	tuber	leafnum	sdlsr	nsdlsr	wsd	sqdecplt	lai	evapsoil	fielddem	avgev	wvgwd	gmtot	TariNum	TManNum	mb1	mb2	mb3	mb4	mb5	mb6	ed1	ed2	ed3	el1	el2	el3
CasGIS	06Nov25	8:50:27-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_217_DZA_NF.txt	0.1250	35.8750	1	365	12	30	1982	1646	2.561	287.596	0.829	42.718	12.386	1.00	1.00	1.00	100.074	0.019	2.119	0.010	2.119	0.010	0.0014	0.0060	0.0072	0.003	0.440	0.288	0.544	0.976	9.170	0.000	0.000	0.001	63.685	40.103	1.793
CasGIS	06Nov25	8:50:27-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_219_DZA_NF.txt	0.1250	35.3750	1	365	12	30	1982	1301	3.332	383.747	8.033	142.471	28.680	1.00	1.00	1.00	99.988	0.355	0.990	0.398	1.079	0.144	0.0002	0.0060	0.0051	0.065	0.749	1.067	1.913	2.723	18.344	0.000	0.000	0.000	215.234	117.610	7.182
CasGIS	06Nov25	8:50:28-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_221_DZA_NF.txt	0.1250	34.8750	1	365	12	30	1982	1106	2.601	291.689	1.784	91.290	16.541	1.00	1.00	1.00	100.017	0.053	1.084	0.010	1.085	0.022	0.0000	0.0055	0.0050	0.017	1.053	0.360	0.657	1.050	7.484	0.000	0.003	0.002	130.881	43.466	2.633
CasGIS	06Nov25	8:50:28-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_223_DZA_NF.txt	0.1250	34.3750	1	365	12	30	1982	1207	2.507	283.142	15.699	86.187	28.504	0.90	0.90	0.80	96.450	0.535	0.848	0.542	0.933	0.269	0.0000	0.0050	0.0050	0.108	1.101	0.907	1.647	1.591	7.162	0.000	0.009	0.001	166.330	25.821	1.964
CasGIS	06Nov25	8:50:29-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_225_DZA_NF.txt	0.1250	33.8750	1	365	12	30	1982	1284	2.323	261.306	0.964	60.486	10.320	1.00	1.00	0.10	100.072	0.037	1.074	0.010	1.078	0.037	0.0005	0.0050	0.0050	0.018	0.475	0.136	0.277	0.423	2.590	0.001	0.003	0.002	93.003	22.177	1.561
CasGIS	06Nov25	8:50:29-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_227_DZA_NF.txt	0.1250	33.3750	1	365	12	30	1982	1291	1.941	214.175	0.546	26.964	7.780	1.00	1.00	0.10	100.039	0.021	0.663	0.010	0.628	0.020	0.0010	0.0050	0.0050	0.003	0.616	0.062	0.114	0.146	0.401	0.000	0.003	0.002	5.662	4.584	0.555
CasGIS	06Nov25	8:50:30-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_229_DZA_NF.txt	0.1250	32.8750	1	365	12	30	1982	1441	2.220	251.623	0.894	56.456	9.459	1.00	1.00	0.10	100.020	0.035	0.237	0.010	0.229	0.038	0.0010	0.0050	0.0050	0.007	0.401	0.097	0.162	0.236	0.861	0.004	0.008	0.002	37.942	9.418	3.192
CasGIS	06Nov25	8:50:30-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_231_DZA_NF.txt	0.1250	32.3750	1	365	12	30	1982	1542	1.965	219.352	0.350	40.703	7.245	1.00	1.00	0.09	100.045	0.012	0.132	0.010	0.127	0.010	0.0005	0.0057	0.0050	0.054	1.889	2.202	3.364	3.547	14.867	0.066	0.016	0.003	157.451	10.773	1.806
CasGIS	06Nov25	8:50:31-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_233_DZA_NF.txt	0.1250	31.8750	1	365	12	30	1982	1594	1.153	117.588	0.072	9.801	4.033	1.00	1.00	0.00	100.056	0.002	0.084	0.010	0.083	0.010	0.0005	0.0055	0.0050	0.001	0.530	0.148	0.244	0.338	1.531	0.004	0.005	0.001	17.524	8.094	1.774
CasGIS	06Nov25	8:50:31-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_235_DZA_NF.txt	0.1250	31.3750	1	365	12	30	1982	1630	1.982	222.910	0.552	55.779	9.560	1.00	1.00	0.10	100.158	0.017	0.125	0.010	0.122	0.010	0.0005	0.0060	0.0050	0.025	0.867	1.850	3.704	4.460	16.450	0.663	0.260	0.055	27.928	4.804	7.611
