Model	Date	Time	WxFile	Long	Lat	JdStart	JdEnd	Month	Day	Year	dd	root	stem	leaf	tuber	leafnum	sdlsr	nsdlsr	wsd	sqdecplt	lai	evapsoil	fielddem	avgev	wvgwd	gmtot	TariNum	TManNum	mb1	mb2	mb3	mb4	mb5	mb6	ed1	ed2	ed3	el1	el2	el3
CasGIS	06Nov25	8:50:27-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_217_DZA_NF.txt	0.1250	35.8750	1	365	12	30	1983	1746	3.950	483.781	9.626	264.899	38.074	1.00	1.00	1.00	100.120	0.369	1.276	0.443	0.711	0.155	3.2677	0.0081	0.0071	0.036	0.735	0.753	1.674	3.009	54.134	0.001	0.001	0.000	232.348	193.994	7.715
CasGIS	06Nov25	8:50:27-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_219_DZA_NF.txt	0.1250	35.3750	1	365	12	30	1983	1381	5.540	663.925	7.669	277.466	40.007	1.00	1.00	1.00	100.032	0.318	0.613	0.378	0.556	0.172	0.0136	0.0066	0.0054	0.001	0.318	0.168	0.566	1.304	11.617	0.001	0.001	0.000	123.072	85.583	4.076
CasGIS	06Nov25	8:50:28-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_221_DZA_NF.txt	0.1250	34.8750	1	365	12	30	1983	1145	4.134	484.786	8.338	171.800	35.777	1.00	1.00	0.91	100.220	0.369	0.294	0.420	0.293	0.170	0.0000	0.0050	0.0050	0.000	0.235	0.033	0.057	0.086	0.458	0.002	0.001	0.002	23.271	11.124	1.516
CasGIS	06Nov25	8:50:28-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_223_DZA_NF.txt	0.1250	34.3750	1	365	12	30	1983	1210	3.067	353.753	20.202	89.733	31.725	0.90	0.90	0.00	96.504	0.723	0.179	0.736	0.163	0.320	0.0000	0.0050	0.0050	0.076	1.440	0.937	1.554	2.348	11.939	0.001	0.002	0.001	19.290	8.361	1.496
CasGIS	06Nov25	8:50:29-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_225_DZA_NF.txt	0.1250	33.8750	1	365	12	30	1983	1314	2.316	261.165	0.366	17.554	5.942	1.00	1.00	0.00	100.036	0.014	0.122	0.010	0.122	0.012	0.0010	0.0068	0.0050	0.000	0.257	0.030	0.040	0.066	0.430	0.004	0.001	0.002	6.106	2.936	0.518
CasGIS	06Nov25	8:50:29-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_227_DZA_NF.txt	0.1250	33.3750	1	365	12	30	1983	1328	1.916	211.976	0.178	8.232	4.348	1.00	1.00	0.00	100.054	0.006	0.078	0.010	0.078	0.010	0.0005	0.0055	0.0050	0.000	1.366	0.457	0.390	0.366	0.644	0.001	0.001	0.002	1.124	0.718	0.149
CasGIS	06Nov25	8:50:30-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_229_DZA_NF.txt	0.1250	32.8750	1	365	12	30	1983	1571	1.992	230.385	0.349	20.620	5.792	1.00	1.00	0.00	100.025	0.014	0.075	0.010	0.074	0.012	0.0016	0.0059	0.0050	0.000	0.773	0.262	0.400	0.806	4.493	0.003	0.003	0.002	4.531	3.085	1.337
CasGIS	06Nov25	8:50:30-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_231_DZA_NF.txt	0.1250	32.3750	1	365	12	30	1983	1710	1.442	168.096	0.178	15.828	5.217	1.00	1.00	0.00	100.019	0.006	0.065	0.010	0.064	0.010	0.0014	0.0063	0.0050	0.004	1.032	0.429	0.664	1.554	15.714	0.059	0.017	0.001	43.520	1.457	1.269
CasGIS	06Nov25	8:50:31-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_233_DZA_NF.txt	0.1250	31.8750	1	365	12	30	1983	1806	0.535	58.152	0.021	2.802	2.252	1.00	1.00	0.00	100.006	0.001	0.057	0.010	0.057	0.010	0.0056	0.0061	0.0050	0.001	1.091	0.506	0.462	0.348	2.617	0.005	0.004	0.001	26.567	2.238	0.123
CasGIS	06Nov25	8:50:31-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_235_DZA_NF.txt	0.1250	31.3750	1	365	12	30	1983	1848	1.287	155.353	0.184	19.432	5.674	1.00	1.00	0.00	99.987	0.007	0.074	0.010	0.073	0.010	0.1525	0.0070	0.0050	0.002	0.892	0.427	0.506	0.603	8.104	0.032	0.032	0.001	2.804	1.200	0.895
