Model	Date	Time	WxFile	Long	Lat	JdStart	JdEnd	Month	Day	Year	dd	root	stem	leaf	tuber	leafnum	sdlsr	nsdlsr	wsd	sqdecplt	lai	evapsoil	fielddem	avgev	wvgwd	gmtot	TariNum	TManNum	mb1	mb2	mb3	mb4	mb5	mb6	ed1	ed2	ed3	el1	el2	el3
CasGIS	06Nov25	8:50:27-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_217_DZA_NF.txt	0.1250	35.8750	1	365	12	29	1984	1458	3.414	429.894	5.743	170.090	33.376	1.00	1.00	1.00	100.057	0.128	0.741	0.067	0.752	0.055	0.8523	0.0090	0.0082	0.007	0.787	0.833	1.989	3.636	59.038	0.001	0.000	0.000	61.447	40.456	2.238
CasGIS	06Nov25	8:50:27-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_219_DZA_NF.txt	0.1250	35.3750	1	365	12	29	1984	1138	6.092	748.644	11.271	214.954	36.064	1.00	1.00	1.00	100.224	0.550	1.000	0.448	1.329	0.131	0.0005	0.0088	0.0057	0.004	0.777	0.531	1.042	2.550	36.357	0.000	0.000	0.000	61.359	41.972	3.853
CasGIS	06Nov25	8:50:28-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_221_DZA_NF.txt	0.1250	34.8750	1	365	12	29	1984	973	4.677	555.785	6.027	111.427	25.970	1.00	1.00	1.00	100.207	0.274	0.472	0.172	0.455	0.078	0.0000	0.0050	0.0050	0.001	0.765	0.402	0.867	1.265	5.134	0.001	0.001	0.002	39.161	18.842	1.782
CasGIS	06Nov25	8:50:28-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_223_DZA_NF.txt	0.1250	34.3750	1	365	12	29	1984	1062	3.256	383.123	16.091	66.189	25.100	0.90	0.90	0.10	96.395	0.527	0.308	0.288	0.282	0.147	0.0005	0.0055	0.0050	0.082	1.379	1.130	2.278	3.721	17.887	0.001	0.002	0.000	31.977	25.147	1.707
CasGIS	06Nov25	8:50:29-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_225_DZA_NF.txt	0.1250	33.8750	1	365	12	29	1984	1154	1.914	222.172	0.111	6.253	2.851	1.00	1.00	0.06	100.014	0.004	0.548	0.010	0.548	0.010	0.0010	0.0049	0.0050	0.006	1.566	0.539	0.526	0.702	2.795	0.004	0.002	0.001	2.885	1.102	0.183
CasGIS	06Nov25	8:50:29-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_227_DZA_NF.txt	0.1250	33.3750	1	365	12	29	1984	1187	1.457	166.783	0.058	3.313	2.241	1.00	1.00	0.00	100.038	0.002	0.106	0.010	0.106	0.010	0.0020	0.0060	0.0050	0.003	1.453	0.511	0.343	0.282	0.802	0.023	0.002	0.003	5.851	0.486	0.088
CasGIS	06Nov25	8:50:30-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_229_DZA_NF.txt	0.1250	32.8750	1	365	12	29	1984	1354	1.070	130.633	0.091	7.081	2.741	1.00	1.00	0.00	100.013	0.003	0.079	0.010	0.078	0.010	0.0000	0.0055	0.0050	0.073	1.492	0.739	0.821	0.050	0.062	0.038	0.011	0.003	29.404	0.551	0.500
CasGIS	06Nov25	8:50:30-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_231_DZA_NF.txt	0.1250	32.3750	1	365	12	29	1984	1470	0.516	63.829	0.072	5.783	2.811	1.00	1.00	0.00	100.024	0.002	0.062	0.010	0.061	0.010	0.0005	0.0065	0.0050	0.097	1.672	1.448	1.995	2.870	11.269	0.016	0.012	0.004	2.669	0.556	0.299
CasGIS	06Nov25	8:50:31-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_233_DZA_NF.txt	0.1250	31.8750	1	365	12	29	1984	1549	0.069	8.183	0.008	0.842	1.192	1.00	1.00	0.00	100.007	0.000	0.053	0.010	0.053	0.010	0.0006	0.0059	0.0050	0.003	0.746	0.340	0.303	0.265	1.060	0.006	0.002	0.001	1.622	0.793	0.138
CasGIS	06Nov25	8:50:32-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_235_DZA_NF.txt	0.1250	31.3750	1	365	12	29	1984	1610	0.481	60.530	0.074	7.067	3.223	1.00	1.00	0.00	100.013	0.002	0.063	0.010	0.062	0.010	0.0003	0.0085	0.0050	0.016	1.294	1.843	3.376	4.736	15.237	0.169	0.049	0.001	8.115	1.947	0.138
CasGIS	06Nov25	8:50:32-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_237_DZA_NF.txt	0.1250	30.8750	1	365	12	29	1984	1645	0.063	7.793	0.010	1.085	0.923	1.00	1.00	0.00	100.000	0.000	0.031	0.010	0.031	0.010	0.0005	0.0055	0.0050	0.000	0.956	0.343	0.291	0.306	1.905	0.554	0.111	0.005	1.205	0.217	0.101
CasGIS	06Nov25	8:50:34-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_239_DZA_NF.txt	0.1250	30.3750	1	365	12	29	1984	1651	0.101	12.447	0.002	0.373	0.351	1.00	1.00	0.00	100.000	0.000	0.025	0.010	0.025	0.010	0.0017	0.0056	0.0050	0.002	0.800	0.977	2.545	3.476	11.373	0.000	0.001	0.001	0.000	0.002	0.006
CasGIS	06Nov25	8:50:35-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_241_DZA_NF.txt	0.1250	29.8750	1	365	12	29	1984	1671	0.341	32.248	11.277	2.436	11.872	0.60	0.64	0.03	90.397	0.284	0.028	0.370	0.028	0.317	0.2966	0.0061	0.0050	0.355	1.124	0.629	0.322	0.255	0.626	0.041	0.006	0.002	0.676	0.128	0.061
CasGIS	06Nov25	8:50:37-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_243_DZA_NF.txt	0.1250	29.3750	1	365	12	29	1984	1672	0.402	37.016	17.796	2.296	16.048	0.50	0.53	0.03	90.909	0.353	0.031	0.467	0.031	0.380	0.7916	0.0066	0.0050	0.383	0.475	0.260	0.284	0.310	0.447	0.017	0.005	0.001	0.947	0.181	0.050
CasGIS	06Nov25	8:50:39-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_245_DZA_NF.txt	0.1250	28.8750	1	365	12	29	1984	1675	0.702	65.858	32.777	2.780	31.592	0.20	0.23	0.02	96.162	0.804	0.033	0.899	0.033	0.793	1.0652	0.0057	0.0050	1.107	0.679	0.534	0.427	0.343	0.663	0.003	0.002	0.001	0.105	0.063	0.014
CasGIS	06Nov25	8:50:41-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_247_DZA_NF.txt	0.1250	28.3750	1	365	12	29	1984	1666	4.019	482.969	78.086	221.008	62.281	0.10	0.10	0.10	101.135	1.791	0.038	1.490	0.032	1.260	4.8356	0.0057	0.0050	0.859	1.671	1.097	0.797	2.062	22.984	0.000	0.000	0.000	19.843	12.735	1.691
