Model	Date	Time	WxFile	Long	Lat	JdStart	JdEnd	Month	Day	Year	dd	root	stem	leaf	tuber	leafnum	sdlsr	nsdlsr	wsd	sqdecplt	lai	evapsoil	fielddem	avgev	wvgwd	gmtot	TariNum	TManNum	mb1	mb2	mb3	mb4	mb5	mb6	ed1	ed2	ed3	el1	el2	el3
CasGIS	06Nov25	8:50:27-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_217_DZA_NF.txt	0.1250	35.8750	1	365	12	30	1981	1670	2.442	272.348	0.969	88.402	16.462	0.15	0.00	0.00	100.118	0.033	0.173	0.010	0.172	0.010	5.1544	0.0104	0.0063	0.017	1.140	3.287	6.202	6.375	107.340	0.001	0.001	0.000	150.778	101.405	9.276
CasGIS	06Nov25	8:50:27-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_219_DZA_NF.txt	0.1250	35.3750	1	365	12	30	1981	1298	2.177	238.429	1.474	92.384	20.665	0.26	0.00	0.06	100.112	0.057	0.324	0.010	0.327	0.017	0.0557	0.0084	0.0058	0.186	2.143	2.189	2.265	3.422	53.903	0.005	0.001	0.001	59.646	31.628	3.109
CasGIS	06Nov25	8:50:28-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_221_DZA_NF.txt	0.1250	34.8750	1	365	12	30	1981	1053	1.754	185.361	8.969	69.274	27.802	1.00	1.00	0.10	100.062	0.438	0.180	0.647	0.175	0.209	0.0012	0.0077	0.0050	0.001	0.371	0.063	0.080	0.108	0.676	0.001	0.001	0.000	7.168	6.583	0.248
CasGIS	06Nov25	8:50:28-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_223_DZA_NF.txt	0.1250	34.3750	1	365	12	30	1981	1170	1.813	196.121	17.383	63.470	31.344	0.90	0.90	0.09	96.433	0.564	0.162	0.786	0.156	0.363	0.0462	0.0061	0.0050	0.072	0.359	0.059	0.084	0.107	0.717	0.001	0.001	0.001	10.470	10.070	1.061
CasGIS	06Nov25	8:50:29-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_225_DZA_NF.txt	0.1250	33.8750	1	365	12	30	1981	1294	1.913	210.045	6.707	68.080	22.504	1.00	1.00	0.10	100.026	0.304	0.189	0.441	0.185	0.176	0.0083	0.0056	0.0050	0.005	0.577	0.197	0.371	0.656	6.285	0.001	0.001	0.001	25.500	24.788	2.967
CasGIS	06Nov25	8:50:29-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_227_DZA_NF.txt	0.1250	33.3750	1	365	12	30	1981	1335	1.865	205.016	5.925	65.127	20.749	1.00	1.00	0.07	100.030	0.276	0.162	0.386	0.159	0.165	0.0356	0.0055	0.0050	0.001	0.482	0.083	0.140	0.208	0.899	0.009	0.001	0.001	21.618	9.196	0.783
CasGIS	06Nov25	8:50:30-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_229_DZA_NF.txt	0.1250	32.8750	1	365	12	30	1981	1577	1.953	218.494	3.959	88.146	19.103	1.00	1.00	0.06	99.952	0.184	0.118	0.220	0.114	0.136	0.0158	0.0050	0.0050	0.017	0.800	0.475	0.592	1.210	11.705	0.001	0.001	0.001	26.567	18.976	3.088
CasGIS	06Nov25	8:50:30-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_231_DZA_NF.txt	0.1250	32.3750	1	365	12	30	1981	1735	1.910	212.706	1.749	99.833	15.037	1.00	1.00	0.00	100.101	0.071	0.080	0.010	0.079	0.070	0.0946	0.0060	0.0050	0.081	1.626	2.142	2.760	4.575	62.172	0.005	0.002	0.000	420.116	21.976	1.505
CasGIS	06Nov25	8:50:31-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_233_DZA_NF.txt	0.1250	31.8750	1	365	12	30	1981	1852	1.159	118.313	0.245	28.370	6.748	1.00	1.00	0.00	100.025	0.008	0.063	0.010	0.063	0.010	0.0249	0.0056	0.0050	0.021	0.975	1.268	1.776	1.808	11.355	0.002	0.002	0.000	24.936	16.049	2.225
CasGIS	06Nov25	8:50:31-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_235_DZA_NF.txt	0.1250	31.3750	1	365	12	30	1981	1912	1.764	194.800	1.061	99.635	11.969	1.00	1.00	0.00	100.040	0.034	0.083	0.010	0.082	0.031	0.4972	0.0059	0.0050	0.137	2.409	5.456	7.479	7.200	50.269	0.326	0.122	0.001	22.611	3.196	10.455
